,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
57,Deuce McAllister,NOR,RB,26,14,14,0,0,0,0,0,269,1074,3.99,9,48,34,228,6.71,0,5,4,9,,,176,210.2,220.2,193.2,22,19,57,McAlDe00
58,Andre Johnson,HOU,WR,23,16,16,0,0,0,0,0,4,12,3.00,0,138,79,1142,14.46,6,1,1,6,,,149,228.4,232.4,188.9,22,22,58,JohnAn02
59,Jerry Porter,OAK,WR,26,16,16,0,0,0,0,0,1,-4,-4.00,0,136,64,998,15.59,9,2,2,9,,,149,213.4,218.4,181.4,22,23,59,PortJe00
60,Marc Bulger,STL,QB,27,14,14,321,485,3964,21,14,19,89,4.68,3,0,0,0,,0,5,4,3,,1,235,235.5,256.5,249.5,17,10,60,BulgMa00
61,Fred Taylor,JAX,RB,28,14,14,0,0,0,0,0,260,1224,4.71,2,58,36,345,9.58,1,3,2,3,,,171,206.9,214.9,188.9,17,20,61,TaylFr00
62,Lee Evans,BUF,WR,23,16,11,0,0,0,0,0,5,85,17.00,0,74,48,843,17.56,9,1,1,9,,,145,192.8,196.8,168.8,17,24,62,EvanLe00
63,Chris Chambers,MIA,WR,26,15,15,0,0,0,0,0,9,76,8.44,0,140,69,898,13.01,7,1,1,7,1,,139,208.4,212.4,173.9,12,25,63,ChamCh00
64,Kevin Jones,DET,RB,22,15,14,0,0,0,0,0,241,1133,4.70,5,41,28,180,6.43,1,2,1,6,,,165,193.3,200.3,179.3,11,21,64,JoneKe02
65,Daniel Graham,NWE,TE,26,14,14,0,0,0,0,0,0,0,,0,48,30,364,12.13,7,0,,7,,,78,108.4,111.4,93.4,9,9,65,GrahDa00
66,Bubba Franks,GNB,TE,26,16,14,0,0,0,0,0,0,0,,0,50,34,361,10.62,7,0,,7,,,78,112.1,115.1,95.1,9,10,66,FranBu00
67,Tom Brady,NWE,QB,27,16,16,288,474,3692,28,14,43,28,0.65,0,0,0,0,,0,7,4,0,,,226,226.5,247.5,240.5,8,11,67,BradTo00
68,Nick Goings,CAR,RB,26,16,8,0,0,0,0,0,217,821,3.78,6,61,45,394,8.76,1,1,1,7,,,162,206.5,213.5,184.0,7,22,68,GoinNi00
69,Emmitt Smith,ARI,RB,35,15,15,1,1,21,1,0,267,937,3.51,9,20,15,105,7.00,0,4,1,9,,,161,176.0,183.0,168.5,7,23,69,SmitEm00
70,Eric Moulds,BUF,WR,31,16,16,0,0,0,0,0,5,19,3.80,0,152,88,1043,11.85,5,1,1,5,,,134,222.2,226.2,178.2,7,26,70,MoulEr00
71,Hines Ward,PIT,WR,28,16,16,0,0,0,0,0,7,25,3.57,1,108,80,1004,12.55,4,1,,5,,,133,212.9,215.9,172.9,6,27,71,WardHi00
72,Keyshawn Johnson,DAL,WR,32,16,16,0,2,0,0,1,2,13,6.50,0,124,70,981,14.01,6,1,1,6,,,131,201.4,206.4,167.4,4,28,72,JohnKe00
73,Dallas Clark,IND,TE,25,15,13,0,0,0,0,0,0,0,,0,39,25,423,16.92,5,2,1,5,,,70,95.3,99.3,82.8,1,11,73,ClarDa00
74,Michael Vick,ATL,QB,24,15,15,181,321,2313,14,12,120,902,7.52,3,0,0,0,,0,16,7,3,,,219,218.7,243.7,230.7,,12,74,VickMi00
75,Matt Hasselbeck,SEA,QB,29,14,14,279,474,3382,22,15,27,90,3.33,1,0,0,0,,0,5,2,1,,2,208,208.3,228.3,223.3,,13,75,HassMa00
76,David Carr,HOU,QB,25,16,16,285,466,3531,16,14,73,299,4.10,0,0,0,0,,0,10,3,0,,,201,201.1,224.1,215.1,,14,76,CarrDa00
77,Joey Harrington,DET,QB,26,16,16,274,489,3047,19,12,48,175,3.65,0,0,0,0,,0,6,3,0,,1,187,187.4,208.4,199.4,,15,77,HarrJo00
