rank,player,team,position,age,games,games_started,completions,pass_attempts,pass_yards,pass_tds,ints,rush_attempts,rush_yards,yards_per_rush_attempt,rush_tds,targets,receptions,rec_yds,yards_per_rec,rec_tds,fumbles,fumbles_lost,rush_and_rec_td_total,two_point_convs_made,two_point_conv_passes,standard_fantasy_points,ppr_fantasy_points,draftkings_points,fanduel_points,vbd,pos_rank,overall_rank,player_id
111,Josh Downs,IND,WR,23,14,8,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,107.0,72.0,803.0,11.15,5.0,0.0,0.0,5,,,112.0,183.5,186.5,147.5,,38,,DownJo00
112,Cooper Rush,DAL,QB,31,12,8,187.0,308.0,1844.0,12.0,5.0,26.0,18.0,0.69,0.0,0.0,0.0,0.0,,0.0,9.0,3.0,0,,1.0,110.0,109.6,120.6,114.6,,33,,RushCo00
113,Cooper Kupp,LAR,WR,31,12,11,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,100.0,67.0,710.0,10.6,6.0,1.0,0.0,6,,,108.0,175.0,178.0,141.5,,39,,KuppCo00
114,Khalil Shakir,BUF,WR,24,15,9,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,100.0,76.0,821.0,10.8,4.0,1.0,0.0,4,,,107.0,182.5,185.5,144.5,,40,,ShakKh00
115,Javonte Williams,DEN,RB,24,17,11,0.0,0.0,0.0,0.0,0.0,139.0,513.0,3.69,4.0,70.0,52.0,346.0,6.65,0.0,2.0,2.0,4,,,106.0,157.9,165.9,131.9,,32,,WillJa10
116,George Pickens,PIT,WR,23,14,12,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,-3.0,0.0,103.0,59.0,900.0,15.25,3.0,1.0,1.0,3,,,105.0,164.4,168.4,134.9,,41,,PickGe00
117,Jordan Mason,SFO,RB,25,12,6,0.0,0.0,0.0,0.0,0.0,153.0,789.0,5.16,3.0,14.0,11.0,91.0,8.27,0.0,3.0,1.0,3,,,104.0,115.0,119.0,109.5,,33,,MasoJo00
118,Nick Westbrook-Ikhine,TEN,WR,27,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.0,32.0,497.0,15.53,9.0,0.0,0.0,9,,,104.0,135.7,138.7,119.7,,42,,WestNi00
119,Deebo Samuel,SFO,WR,28,15,15,0.0,0.0,0.0,0.0,0.0,42.0,136.0,3.24,1.0,81.0,51.0,670.0,13.14,3.0,2.0,1.0,4,,,103.0,153.6,160.6,128.1,,44,,SamuDe00
120,Jalen Tolbert,DAL,WR,25,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79.0,49.0,610.0,12.45,7.0,0.0,0.0,7,,,103.0,152.0,155.0,127.5,,43,,TolbJa00
121,Alexander Mattison,LVR,RB,26,14,7,0.0,0.0,0.0,0.0,0.0,132.0,420.0,3.18,4.0,48.0,36.0,294.0,8.17,1.0,1.0,1.0,5,1.0,,101.0,137.4,144.4,119.4,,34,,MattAl01
122,Ray Davis,BUF,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,113.0,442.0,3.91,3.0,19.0,17.0,189.0,11.12,3.0,0.0,0.0,6,,,99.0,116.1,122.1,107.6,,35,,DaviRa04
123,Joe Flacco,IND,QB,39,8,6,162.0,248.0,1761.0,12.0,7.0,9.0,26.0,2.89,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,0,,,99.0,99.0,113.0,106.0,,34,,FlacJo00
124,Jalen McMillan,TAM,WR,23,13,12,0.0,0.0,0.0,0.0,0.0,4.0,43.0,10.75,0.0,58.0,37.0,461.0,12.46,8.0,0.0,0.0,8,,,98.0,135.4,138.4,116.9,,45,,McMiJa01
125,Austin Ekeler,WAS,RB,29,12,6,0.0,0.0,0.0,0.0,0.0,77.0,367.0,4.77,4.0,41.0,35.0,366.0,10.46,0.0,3.0,0.0,4,,,97.0,132.3,138.3,114.8,,36,,EkelAu00
126,Jerome Ford,CLE,RB,25,14,6,0.0,0.0,0.0,0.0,0.0,104.0,565.0,5.43,3.0,43.0,37.0,225.0,6.08,0.0,0.0,0.0,3,,,97.0,134.0,140.0,115.5,,37,,FordJe00
127,Michael Pittman Jr.,IND,WR,27,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,111.0,69.0,808.0,11.71,3.0,1.0,1.0,3,,,97.0,165.8,169.8,131.3,,46,,PittMi01
128,Mac Jones,JAX,QB,26,10,7,171.0,262.0,1672.0,8.0,8.0,28.0,92.0,3.29,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1,,1.0,96.0,96.1,109.1,104.1,,36,,JoneMa05
129,Gardner Minshew II,LVR,QB,28,10,9,203.0,306.0,2013.0,9.0,10.0,19.0,58.0,3.05,0.0,0.0,0.0,0.0,,0.0,6.0,4.0,0,,1.0,96.0,96.3,113.3,106.3,,35,,MinsGa00
130,Mason Rudolph,TEN,QB,29,8,5,146.0,228.0,1530.0,9.0,9.0,25.0,106.0,4.24,1.0,0.0,0.0,0.0,,0.0,5.0,1.0,1,,1.0,96.0,95.8,111.8,104.8,,37,,RudoMa00
131,Tyler Allgeier,ATL,RB,24,17,0,0.0,0.0,0.0,0.0,0.0,137.0,644.0,4.7,3.0,13.0,13.0,88.0,6.77,0.0,0.0,0.0,3,1.0,,93.0,106.2,109.2,99.7,,38,,AllgTy00
132,Aidan O'Connell,LVR,QB,26,9,7,154.0,243.0,1612.0,8.0,4.0,21.0,30.0,1.43,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1,,,93.0,93.5,102.5,97.5,,38,,OConAi00
133,Demarcus Robinson,LAR,WR,30,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,31.0,505.0,16.29,7.0,0.0,0.0,7,,,93.0,123.5,126.5,108.0,,47,,RobiDe01
134,Adam Thielen,CAR,WR,34,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,48.0,615.0,12.81,5.0,0.0,0.0,5,,,92.0,139.5,142.5,115.5,,49,,ThieAd00
135,Jaylen Waddle,MIA,WR,26,15,15,0.0,0.0,0.0,0.0,0.0,4.0,12.0,3.0,0.0,83.0,58.0,744.0,12.83,2.0,0.0,0.0,2,2.0,,92.0,149.6,152.6,120.6,,48,,WaddJa00
136,Travis Etienne,JAX,RB,25,15,15,0.0,0.0,0.0,0.0,0.0,150.0,558.0,3.72,2.0,52.0,39.0,254.0,6.51,0.0,1.0,1.0,2,,,91.0,130.2,137.2,110.7,,39,,EtieTr00
137,DeAndre Hopkins,2TM,WR,32,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,80.0,56.0,610.0,10.89,5.0,1.0,0.0,5,,,91.0,147.0,150.0,119.0,,50,,HopkDe00
138,Marvin Mims,DEN,WR,22,17,2,0.0,0.0,0.0,0.0,0.0,13.0,42.0,3.23,0.0,52.0,39.0,503.0,12.9,6.0,1.0,0.0,6,,,91.0,129.5,132.5,110.0,,52,,MimsMa00
139,Rome Odunze,CHI,WR,22,17,12,0.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,0.0,101.0,54.0,734.0,13.59,3.0,2.0,1.0,3,,,91.0,144.9,148.9,117.9,,51,,OdunRo00
140,Wan'Dale Robinson,NYG,WR,23,17,7,0.0,0.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,140.0,93.0,699.0,7.52,3.0,0.0,0.0,3,,,90.0,182.7,185.7,136.2,,53,,RobiWa01
141,Tank Dell,HOU,WR,25,14,10,0.0,0.0,0.0,0.0,0.0,9.0,43.0,4.78,0.0,81.0,51.0,667.0,13.08,3.0,0.0,0.0,3,,,89.0,140.0,143.0,114.5,,54,,DellNa00
142,Allen Lazard,NYJ,WR,29,12,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.0,37.0,530.0,14.32,6.0,0.0,0.0,6,,,89.0,126.0,129.0,107.5,,55,,LazaAl00
143,Chris Godwin,TAM,WR,28,7,7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,62.0,50.0,576.0,11.52,5.0,1.0,0.0,5,,,88.0,137.8,140.8,112.8,,56,,GodwCh00
144,Romeo Doubs,GNB,WR,24,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,72.0,46.0,601.0,13.07,4.0,0.0,0.0,4,1.0,,86.0,132.1,135.1,109.1,,57,,DoubRo00
145,Jaylen Warren,PIT,RB,26,15,0,0.0,0.0,0.0,0.0,0.0,120.0,511.0,4.26,1.0,47.0,38.0,310.0,8.16,0.0,2.0,1.0,1,,,86.0,124.1,131.1,105.1,,40,,WarrJa01
146,Ameer Abdullah,LVR,RB,31,16,3,0.0,0.0,0.0,0.0,0.0,66.0,311.0,4.71,2.0,47.0,40.0,261.0,6.53,3.0,2.0,1.0,5,,,85.0,125.2,132.2,105.2,,41,,AbduAm00
147,Justice Hill,BAL,RB,27,15,0,0.0,0.0,0.0,0.0,0.0,47.0,228.0,4.85,1.0,51.0,42.0,383.0,9.12,3.0,0.0,0.0,4,,,85.0,127.1,133.1,106.1,,42,,HillJu00
148,David Njoku,CLE,TE,28,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,64.0,505.0,7.89,5.0,0.0,0.0,5,2.0,,85.0,148.5,151.5,116.5,,11,,NjokDa00
149,Emanuel Wilson,GNB,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,103.0,502.0,4.87,4.0,14.0,11.0,48.0,4.36,1.0,0.0,0.0,5,,,85.0,96.0,99.0,90.5,,43,,WilsEm00
150,Andrei Iosivas,CIN,WR,25,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.0,36.0,479.0,13.31,6.0,0.0,0.0,6,,,84.0,119.9,122.9,101.9,,58,,IosiAn00
151,Kyle Pitts,ATL,TE,24,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,74.0,47.0,602.0,12.81,4.0,0.0,0.0,4,,,84.0,131.2,134.2,107.7,,12,,PittKy00
152,Tyjae Spears,TEN,RB,23,12,1,0.0,0.0,0.0,0.0,0.0,84.0,312.0,3.71,4.0,35.0,30.0,224.0,7.47,1.0,1.0,0.0,5,,,84.0,113.6,119.6,98.6,,44,,SpeaTy00
153,Calvin Austin III,PIT,WR,25,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,36.0,548.0,15.22,4.0,1.0,1.0,5,,,83.0,118.8,122.8,100.8,,59,,AustCa00
154,Keon Coleman,BUF,WR,21,13,12,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,57.0,29.0,556.0,19.17,4.0,0.0,0.0,4,1.0,,83.0,111.5,114.5,97.0,,60,,ColeKe02
155,Demario Douglas,NWE,WR,24,17,7,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.33,0.0,87.0,66.0,621.0,9.41,3.0,1.0,0.0,3,,,82.0,147.7,150.7,114.7,,62,,DougDe00
156,Isaiah Likely,BAL,TE,24,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,42.0,477.0,11.36,6.0,1.0,1.0,6,,,82.0,123.7,127.7,102.7,,13,,LikeIs00
157,Cade Otton,TAM,TE,25,14,14,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,87.0,59.0,600.0,10.17,4.0,2.0,1.0,4,,,82.0,140.6,144.6,111.1,,14,,OttoCa00
158,Tre Tucker,LVR,WR,23,17,14,0.0,0.0,0.0,0.0,0.0,9.0,44.0,4.89,1.0,81.0,47.0,539.0,11.47,3.0,0.0,0.0,4,,,82.0,129.3,132.3,105.8,,61,,TuckTr00
159,Antonio Gibson,NWE,RB,26,17,3,0.0,0.0,0.0,0.0,0.0,120.0,538.0,4.48,1.0,29.0,23.0,206.0,8.96,0.0,2.0,0.0,1,,,80.0,103.4,109.4,91.9,,45,,GibsAn00
160,Drew Lock,NYG,QB,28,8,5,107.0,181.0,1071.0,6.0,5.0,18.0,133.0,7.39,2.0,0.0,0.0,0.0,,0.0,5.0,2.0,2,,1.0,80.0,80.1,93.1,85.1,,39,,LockDr00
161,Cam Akers,2TM,RB,25,17,2,0.0,0.0,0.0,0.0,0.0,104.0,444.0,4.27,2.0,18.0,14.0,68.0,4.86,3.0,1.0,1.0,5,,,79.0,93.2,97.2,86.2,,46,,AkerCa00
162,Kayshon Boutte,NWE,WR,22,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,68.0,43.0,589.0,13.7,3.0,0.0,0.0,3,1.0,,79.0,121.9,124.9,100.4,,63,,BoutKa00
163,Amari Cooper,2TM,WR,30,14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,85.0,44.0,547.0,12.43,4.0,0.0,0.0,4,,,79.0,122.7,125.7,100.7,,64,,CoopAm00
164,Isaac Guerendo,SFO,RB,24,16,3,0.0,0.0,0.0,0.0,0.0,84.0,420.0,5.0,4.0,16.0,15.0,152.0,10.13,0.0,3.0,1.0,4,,,79.0,94.2,101.2,86.7,,47,,GuerIs00
165,Hunter Henry,NWE,TE,30,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,66.0,674.0,10.21,2.0,0.0,0.0,2,,,79.0,145.4,148.4,112.4,,15,,HenrHu00
166,Taysom Hill,NOR,TE,34,8,8,2.0,4.0,21.0,0.0,1.0,39.0,278.0,7.13,6.0,31.0,23.0,187.0,8.13,0.0,1.0,1.0,6,,,79.0,102.3,110.3,91.8,,16,,HillTa00
167,Ray-Ray McCloud,ATL,WR,28,17,13,0.0,0.0,0.0,0.0,0.0,10.0,79.0,7.9,0.0,87.0,62.0,686.0,11.06,1.0,4.0,2.0,1,,,79.0,140.5,145.5,109.5,,65,,McClRa00
168,Michael Wilson,ARI,WR,24,16,13,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,71.0,47.0,548.0,11.66,4.0,1.0,1.0,4,,,78.0,124.5,128.5,101.0,,66,,WilsMi02
169,Mike Gesicki,CIN,TE,29,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,83.0,65.0,665.0,10.23,2.0,1.0,1.0,2,,,77.0,141.5,145.5,109.0,,17,,GesiMi00
170,Deshaun Watson,CLE,QB,29,7,7,137.0,216.0,1148.0,5.0,3.0,31.0,148.0,4.77,1.0,0.0,0.0,0.0,,0.0,5.0,3.0,1,,1.0,77.0,76.7,88.7,79.7,,40,,WatsDe00
171,Xavier Legette,CAR,WR,23,16,13,0.0,0.0,0.0,0.0,0.0,6.0,24.0,4.0,0.0,84.0,49.0,497.0,10.14,4.0,0.0,0.0,4,,,76.0,125.1,128.1,100.6,,68,,LegeXa00
172,Devin Singletary,NYG,RB,27,15,5,0.0,0.0,0.0,0.0,0.0,113.0,437.0,3.87,4.0,24.0,21.0,119.0,5.67,0.0,2.0,2.0,4,,,76.0,96.6,104.6,86.1,,48,,SingDe00
173,Christian Watson,GNB,WR,25,15,15,0.0,0.0,0.0,0.0,0.0,4.0,23.0,5.75,0.0,53.0,29.0,620.0,21.38,2.0,1.0,1.0,2,1.0,,76.0,105.3,109.3,90.8,,67,,WatsCh00
174,Stefon Diggs,HOU,WR,31,8,8,1.0,1.0,13.0,0.0,0.0,3.0,8.0,2.67,1.0,64.0,47.0,496.0,10.55,3.0,0.0,0.0,4,,,75.0,121.9,124.9,98.4,,70,,DiggSt00
175,Jalen Nailor,MIN,WR,25,17,7,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,-1.33,0.0,42.0,28.0,414.0,14.79,6.0,1.0,1.0,6,,,75.0,103.0,107.0,89.0,,69,,NailJa00
176,Ty Johnson,BUF,RB,27,17,1,0.0,0.0,0.0,0.0,0.0,41.0,213.0,5.2,1.0,25.0,18.0,284.0,15.78,3.0,0.0,0.0,4,,,74.0,91.7,97.7,82.7,,49,,JohnTy02
177,Noah Gray,KAN,TE,25,17,10,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,49.0,40.0,437.0,10.93,5.0,0.0,0.0,5,,,73.0,113.3,116.3,93.3,,19,,GrayNo00
178,Juwan Johnson,NOR,TE,28,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,66.0,50.0,548.0,10.96,3.0,2.0,0.0,3,,,73.0,122.8,125.8,97.8,,20,,JohnJu02
179,Cole Kmet,CHI,TE,25,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,55.0,47.0,474.0,10.09,4.0,0.0,0.0,4,1.0,,73.0,120.4,123.4,96.9,,18,,KmetCo00
180,Jaleel McLaughlin,DEN,RB,24,16,5,0.0,0.0,0.0,0.0,0.0,113.0,496.0,4.39,1.0,27.0,24.0,76.0,3.17,2.0,1.0,1.0,3,,,73.0,97.2,101.2,85.2,,50,,McLaJa00
181,KaVontae Turpin,DAL,WR,28,17,2,0.0,0.0,0.0,0.0,0.0,16.0,92.0,5.75,0.0,52.0,31.0,420.0,13.55,2.0,3.0,1.0,4,,,73.0,104.2,108.2,88.7,,71,,TurpKa00
182,Tyler Lockett,SEA,WR,32,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,74.0,49.0,600.0,12.24,2.0,0.0,0.0,2,,,72.0,121.0,124.0,96.5,,72,,LockTy00
183,Dontayvion Wicks,GNB,WR,23,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76.0,39.0,415.0,10.64,5.0,0.0,0.0,5,,,72.0,110.5,113.5,91.0,,73,,WickDo00
184,Tyler Conklin,NYJ,TE,29,16,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,51.0,449.0,8.8,4.0,0.0,0.0,4,1.0,,71.0,121.9,124.9,96.4,,22,,ConkTy00
185,Foster Moreau,NOR,TE,27,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,32.0,413.0,12.91,5.0,0.0,0.0,5,,,71.0,103.3,106.3,87.3,,21,,MoreFo00
186,Darius Slayton,NYG,WR,27,16,13,0.0,0.0,0.0,0.0,0.0,2.0,17.0,8.5,0.0,71.0,39.0,573.0,14.69,2.0,1.0,0.0,2,,,71.0,110.0,113.0,90.5,,74,,SlayDa01
187,Mack Hollins,BUF,WR,31,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,31.0,378.0,12.19,5.0,0.0,0.0,5,,,68.0,98.8,101.8,83.3,,76,,HollMa00
188,Josh Palmer,LAC,WR,25,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,39.0,584.0,14.97,1.0,0.0,0.0,1,2.0,,68.0,107.4,110.4,87.9,,75,,PalmJo00
189,Spencer Rattler,NOR,QB,24,7,6,130.0,228.0,1317.0,4.0,5.0,18.0,146.0,8.11,0.0,0.0,0.0,0.0,,0.0,5.0,3.0,0,,,67.0,67.3,81.3,72.3,,41,,RattSp00
190,Olamide Zaccheaus,WAS,WR,27,17,6,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,64.0,45.0,506.0,11.24,3.0,3.0,1.0,3,,,67.0,112.4,116.4,89.9,,77,,ZaccOl01
191,Braelon Allen,NYJ,RB,20,17,2,0.0,0.0,0.0,0.0,0.0,92.0,334.0,3.63,2.0,27.0,19.0,148.0,7.79,1.0,0.0,0.0,3,,,66.0,85.2,91.2,75.7,,51,,AlleBr05
192,Marquez Valdes-Scantling,2TM,WR,30,14,8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,44.0,19.0,411.0,21.63,4.0,0.0,0.0,4,,,66.0,84.5,87.5,75.0,,78,,ValdMa00
193,Devaughn Vele,DEN,WR,27,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,55.0,41.0,475.0,11.59,3.0,0.0,0.0,3,,,66.0,106.5,109.5,86.0,,79,,VeleDe00
194,Dalton Schultz,HOU,TE,28,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,85.0,53.0,532.0,10.04,2.0,0.0,0.0,2,,,65.0,118.2,121.2,91.7,,23,,SchuDa00
195,Parker Washington,JAX,WR,22,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,51.0,32.0,390.0,12.19,3.0,2.0,0.0,4,1.0,,65.0,97.0,100.0,81.0,,80,,WashPa01
196,Austin Hooper,NWE,TE,30,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,59.0,45.0,476.0,10.58,3.0,2.0,1.0,3,,,64.0,108.6,112.6,86.1,,24,,HoopAu00
197,Ricky Pearsall,SFO,WR,24,11,4,0.0,1.0,0.0,0.0,0.0,3.0,45.0,15.0,0.0,46.0,31.0,400.0,12.9,3.0,0.0,0.0,3,,,63.0,93.5,96.5,78.0,,81,,PearRi00
198,Dallas Goedert,PHI,TE,29,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,52.0,42.0,496.0,11.81,2.0,2.0,0.0,2,,,62.0,103.6,106.6,82.6,,25,,GoedDa00
199,Chigoziem Okonkwo,TEN,TE,25,17,11,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,0.0,70.0,52.0,479.0,9.21,2.0,2.0,1.0,2,1.0,,62.0,113.6,117.6,87.6,,26,,OkonCh00
200,Jalen Coker,CAR,WR,23,11,4,1.0,1.0,19.0,0.0,0.0,0.0,0.0,,0.0,46.0,32.0,478.0,14.94,2.0,0.0,0.0,2,,,61.0,92.6,95.6,76.6,,82,,CokeJa01
201,Gus Edwards,LAC,RB,29,11,6,0.0,0.0,0.0,0.0,0.0,101.0,365.0,3.61,4.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,4,,,61.0,64.1,67.1,62.6,,53,,EdwaGu00
202,Tyler Huntley,MIA,QB,26,5,5,86.0,133.0,829.0,3.0,3.0,26.0,135.0,5.19,2.0,0.0,0.0,0.0,,0.0,6.0,2.0,2,,,61.0,60.7,71.7,63.7,,42,,HuntTy01
203,Roschon Johnson,CHI,RB,23,14,0,0.0,0.0,0.0,0.0,0.0,55.0,150.0,2.73,6.0,20.0,16.0,104.0,6.5,0.0,0.0,0.0,6,,,61.0,77.4,83.4,69.4,,52,,JohnRo07
204,Will Dissly,LAC,TE,28,15,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,50.0,481.0,9.62,2.0,0.0,0.0,2,,,60.0,110.1,113.1,85.1,,27,,DissWi00
205,Elijah Moore,CLE,WR,24,17,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0,61.0,538.0,8.82,1.0,0.0,0.0,1,,,60.0,120.9,123.9,90.4,,83,,MoorEl00
206,Rashid Shaheed,NOR,WR,26,6,5,0.0,0.0,0.0,0.0,0.0,6.0,29.0,4.83,0.0,41.0,20.0,349.0,17.45,3.0,1.0,1.0,4,,,60.0,79.8,83.8,69.8,,84,,ShahRa00
207,Sean Tucker,TAM,RB,23,17,0,0.0,0.0,0.0,0.0,0.0,50.0,308.0,6.16,2.0,12.0,9.0,109.0,12.11,1.0,1.0,0.0,3,,,60.0,68.7,74.7,64.2,,54,,TuckSe00
208,Andy Dalton,CAR,QB,37,6,5,106.0,160.0,989.0,7.0,6.0,11.0,34.0,3.09,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,,,59.0,59.0,68.0,65.0,,43,,DaltAn00
209,Zack Moss,CIN,RB,27,8,6,0.0,0.0,0.0,0.0,0.0,74.0,242.0,3.27,2.0,27.0,23.0,187.0,8.13,1.0,2.0,1.0,3,,,59.0,81.9,88.9,70.4,,55,,MossZa00
210,Tim Patrick,DET,WR,31,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,44.0,33.0,394.0,11.94,3.0,0.0,0.0,3,1.0,,59.0,92.4,95.4,75.9,,85,,PatrTi00
211,Nick Chubb,CLE,RB,29,8,8,0.0,0.0,0.0,0.0,0.0,102.0,332.0,3.25,3.0,11.0,5.0,31.0,6.2,1.0,1.0,1.0,4,,,58.0,63.3,67.3,60.8,,56,,ChubNi00
212,Tutu Atwell,LAR,WR,25,17,5,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,62.0,42.0,562.0,13.38,0.0,0.0,0.0,0,,,57.0,98.9,101.9,77.9,,86,,AtweTu00
213,Dalton Kincaid,BUF,TE,25,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,75.0,44.0,448.0,10.18,2.0,1.0,0.0,2,,,57.0,100.8,103.8,78.8,,28,,KincDa00
214,Noah Fant,SEA,TE,27,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,48.0,500.0,10.42,1.0,0.0,0.0,1,,,56.0,104.0,107.0,80.0,,29,,FantNo00
215,Diontae Johnson,3TM,WR,28,12,8,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,67.0,33.0,375.0,11.36,3.0,0.0,0.0,3,,,56.0,89.1,92.1,72.6,,87,,JohnDi01
216,Jeremy McNichols,WAS,RB,29,17,1,0.0,0.0,0.0,0.0,0.0,55.0,261.0,4.75,4.0,12.0,9.0,27.0,3.0,0.0,0.0,0.0,4,1.0,,55.0,63.8,66.8,59.3,,57,,McNiJe00
217,Greg Dortch,ARI,WR,26,17,4,0.0,0.0,0.0,0.0,0.0,5.0,31.0,6.2,0.0,50.0,37.0,342.0,9.24,3.0,3.0,1.0,3,,,53.0,90.3,94.3,71.8,,88,,DortGr01
218,David Moore,CAR,WR,29,17,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,32.0,351.0,10.97,3.0,0.0,0.0,3,,,53.0,85.1,88.1,69.1,,89,,MoorDa03
219,Samaje Perine,KAN,RB,29,17,0,0.0,0.0,0.0,0.0,0.0,20.0,92.0,4.6,1.0,35.0,28.0,322.0,11.5,1.0,0.0,0.0,2,,,53.0,81.4,84.4,67.4,,58,,PeriSa00
220,Miles Sanders,CAR,RB,27,11,2,0.0,0.0,0.0,0.0,0.0,55.0,205.0,3.73,2.0,30.0,24.0,148.0,6.17,1.0,1.0,0.0,3,,,53.0,77.3,83.3,65.3,,59,,SandMi01
221,Raheem Mostert,MIA,RB,32,13,1,0.0,0.0,0.0,0.0,0.0,85.0,278.0,3.27,2.0,23.0,19.0,161.0,8.47,0.0,2.0,2.0,2,,,52.0,70.9,78.9,61.4,,60,,MostRa00
222,Malik Willis,GNB,QB,25,7,2,40.0,54.0,550.0,3.0,0.0,20.0,138.0,6.9,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,,,52.0,51.8,58.8,51.8,,44,,WillMa12
223,Jordan Akins,CLE,TE,32,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,40.0,390.0,9.75,2.0,1.0,0.0,2,,,51.0,91.0,94.0,71.0,,31,,AkinJo00
224,Noah Brown,WAS,WR,28,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,56.0,35.0,453.0,12.94,1.0,0.0,0.0,1,,,51.0,86.3,89.3,68.8,,91,,BrowNo00
225,Brenton Strange,JAX,TE,24,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,53.0,40.0,411.0,10.28,2.0,1.0,1.0,2,,,51.0,91.1,95.1,71.1,,30,,StraBr00
226,Cedric Tillman,CLE,WR,24,11,6,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,49.0,29.0,339.0,11.69,3.0,1.0,1.0,3,1.0,,51.0,80.4,84.4,65.9,,90,,TillCe01
227,AJ Barner,SEA,TE,22,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38.0,30.0,245.0,8.17,4.0,0.0,0.0,4,,,49.0,78.5,81.5,63.5,,32,,BarnAJ00
