feature,Linear Regression_importance,Random Forest_importance,XGBoost_importance,Gradient Boosting_importance,avg_importance
completions_s_minus_2,1.0299009163953334,0.2387693292928465,6.606329,0.5303785248270503,2.1013444336871574
games_started_s_minus_1,0.4820620619654421,1.6075941390979025,3.8407114,2.3340858671044535,2.066113355844287
pass_attempts_s_minus_1,0.5641520620576207,1.106164887346266,4.6953387,1.784775347430128,2.0376077557194288
pass_yards_per_game_s_minus_3,0.39438560748950957,0.2134247766962162,7.14586,0.27371447588163483,2.006846263806818
games_started_s_minus_3,2.6191462634917064,0.48169978222429105,4.20701,0.6224668357492502,1.982580668448282
rec_yards_per_game_s_minus_3,1.731294939341839,0.42925994255719685,4.7135444,0.8779823150999051,1.9380203914357095
fumbles_s_minus_3,0.9525401243079792,0.5814659997055476,5.0302315,1.1612469603991593,1.931371140060691
rush_yards_s_minus_3,0.0669501359516914,0.4780877193191629,6.097182,1.031868456198969,1.9185220271243528
pass_yards_per_game_s_minus_2,0.08177452803025277,0.5426850355269073,6.0942745,0.8916566053405641,1.902597672442937
games_s_minus_3,2.27363757882702,0.4613348596292081,4.091253,0.6809298902350676,1.8767887831234467
rec_yds_s_minus_2,0.2706065922849487,0.8777756528028086,4.6349263,1.650470526325974,1.8584447726340114
games_started_s_minus_2,1.5578484772662444,0.8726201904557355,3.5457056,1.3759679820125759,1.8380355516510156
pass_yards_s_minus_3,0.20908112019335423,0.16489020574571303,6.3333306,0.2535502004233564,1.7402130394046318
yards_per_rec_s_minus_3,0.3654673111154568,0.7529742459374572,4.1097016,1.5613607930089535,1.697375995878809
rush_attempts_s_minus_3,1.0456792996466184,0.4554591351881325,4.4714975,0.8085909203504466,1.6953067227226908
pass_tds_s_minus_3,3.052044819743078,0.10968169039429677,3.4061167,0.1892958508853699,1.6892847712592567
completions_s_minus_1,0.5823499472134548,0.5073255886722582,4.372391,1.0498361983940938,1.6279757395468193
targets_s_minus_3,0.9128754837954629,0.3628586962687968,4.249746,0.7553591036240628,1.57020978237075
pass_attempts_s_minus_2,1.325433333921049,0.34006829223498397,3.7634413,0.6168864113993423,1.511457340447346
fumbles_lost_s_minus_3,0.6423295846825887,0.31905976938537517,4.8135567,0.26798821659189337,1.510733560450609
games_s_minus_1,0.5298650737462323,1.1968077440163425,2.0993273,1.745081355610306,1.392770374798451
rec_yds_s_minus_3,0.10171736453527502,0.36156416677650866,3.5468347,0.7884005016962383,1.1996291850670384
